trading_date,sector,sentiment
2020-01-02,Comm,0.08718
2020-01-02,Consumer,-0.06894547619047618
2020-01-02,Energy,0.19246166666666667
2020-01-02,Financials,0.10718533333333333
2020-01-02,Healthcare,0.21549047619047618
2020-01-02,Industrials,0.111195
2020-01-02,Materials,0.10974999999999999
2020-01-02,RealEstate,0.007240000000000002
2020-01-02,Tech,0.0645171282051282
2020-01-02,Utilities,0.12738
2020-01-03,Comm,0.08605
2020-01-03,Consumer,-0.17355666666666664
2020-01-03,Energy,-0.046189727272727285
2020-01-03,Financials,0.05045500000000001
2020-01-03,Healthcare,0.19344714285714287
2020-01-03,Industrials,-0.12104999999999999
2020-01-03,Materials,0.024259999999999993
2020-01-03,RealEstate,-0.03842000000000001
2020-01-03,Tech,0.0784682142857143
2020-01-03,Utilities,0.05634
2020-01-06,Comm,0.1560858333333333
2020-01-06,Consumer,0.11356806372549019
2020-01-06,Energy,0.08543969696969697
2020-01-06,Financials,0.284306
2020-01-06,Healthcare,0.32718
2020-01-06,Industrials,-0.00014500000000000068
2020-01-06,Materials,-0.055811999999999994
2020-01-06,RealEstate,0.054819999999999994
2020-01-06,Tech,-0.013116666666666676
2020-01-06,Utilities,0.009050000000000002
2020-01-07,Comm,0.21376
2020-01-07,Consumer,0.1472385
2020-01-07,Energy,0.08608
2020-01-07,Financials,0.112896
2020-01-07,Healthcare,0.10863733333333334
2020-01-07,Industrials,-0.021834285714285716
2020-01-07,Materials,0.07636
2020-01-07,RealEstate,0.08879999999999999
2020-01-07,Tech,-0.07656785714285715
2020-01-07,Utilities,0.19107000000000002
2020-01-08,Comm,0.154382
2020-01-08,Consumer,0.13377
2020-01-08,Energy,-0.018874999999999986
2020-01-08,Financials,0.293586
2020-01-08,Healthcare,0.22562222222222222
2020-01-08,Industrials,0.029828571428571427
2020-01-08,Materials,0.036520000000000004
2020-01-08,RealEstate,0.04848
2020-01-08,Tech,0.0699545
2020-01-08,Utilities,0.23153
2020-01-09,Comm,0.16018
2020-01-09,Consumer,0.29895055555555555
2020-01-09,Energy,0.08153300000000001
2020-01-09,Financials,0.2852693333333333
2020-01-09,Healthcare,0.21403333333333335
2020-01-09,Industrials,0.033716666666666666
2020-01-09,Materials,0.10181333333333334
2020-01-09,RealEstate,0.014479999999999998
2020-01-09,Tech,0.11323533333333333
2020-01-09,Utilities,0.059199999999999996
2020-01-10,Comm,0.028676666666666673
2020-01-10,Consumer,0.004144000000000004
2020-01-10,Energy,0.07396200000000001
2020-01-10,Financials,0.31458833333333336
2020-01-10,Healthcare,0.24778000000000003
2020-01-10,Industrials,0.06901666666666666
2020-01-10,Materials,-0.009360000000000012
2020-01-10,RealEstate,-0.08412
2020-01-10,Tech,0.265226
2020-01-10,Utilities,0.18409666666666666
2020-01-13,Comm,0.07480916666666668
2020-01-13,Consumer,0.08908528571428571
2020-01-13,Energy,0.13454349999999998
2020-01-13,Financials,0.19619
2020-01-13,Healthcare,0.13385750000000002
2020-01-13,Industrials,0.059236666666666674
2020-01-13,Materials,0.16784
2020-01-13,RealEstate,0.03601333333333334
2020-01-13,Tech,0.201397
2020-01-13,Utilities,0.06448
2020-01-14,Comm,0.12403249999999999
2020-01-14,Consumer,0.10432999999999999
2020-01-14,Energy,0.2138183333333333
2020-01-14,Financials,0.05659880952380952
2020-01-14,Healthcare,0.31071
2020-01-14,Industrials,0.089663
2020-01-14,Materials,0.22509999999999994
2020-01-14,RealEstate,0.017720000000000003
2020-01-14,Tech,0.241154
2020-01-14,Utilities,0.23483
2020-01-15,Comm,0.07460833333333333
2020-01-15,Consumer,0.12617038095238095
2020-01-15,Energy,0.08600666666666665
2020-01-15,Financials,0.06089596825396826
2020-01-15,Healthcare,0.27131
2020-01-15,Industrials,-0.07338499999999998
2020-01-15,Materials,0.23073333333333332
2020-01-15,RealEstate,0.025555
2020-01-15,Tech,0.018463666666666666
2020-01-15,Utilities,0.15177000000000002
2020-01-16,Comm,0.18807999999999997
2020-01-16,Consumer,0.20792542857142857
2020-01-16,Energy,0.1408009523809524
2020-01-16,Financials,0.15008511111111114
2020-01-16,Healthcare,0.151955
2020-01-16,Industrials,0.13836666666666667
2020-01-16,Materials,0.08808
2020-01-16,RealEstate,0.158715
2020-01-16,Tech,0.14956755555555556
2020-01-16,Utilities,0.18164833333333333
2020-01-17,Comm,0.11223000000000001
2020-01-17,Consumer,0.08010533333333332
2020-01-17,Energy,0.1130791111111111
2020-01-17,Financials,0.11717999999999999
2020-01-17,Healthcare,0.23293499999999998
2020-01-17,Industrials,0.22019000000000002
2020-01-17,Materials,0.18836
2020-01-17,RealEstate,0.15122
2020-01-17,Tech,0.07141555777555778
2020-01-17,Utilities,0.15105022222222222
2020-01-21,Comm,-0.021673333333333333
2020-01-21,Consumer,0.07337977272727272
2020-01-21,Energy,0.13708871428571429
2020-01-21,Financials,0.19930555555555557
2020-01-21,Healthcare,0.09174071428571427
2020-01-21,Industrials,0.1046862857142857
2020-01-21,Materials,0.010085999999999998
2020-01-21,RealEstate,0.12666666666666665
2020-01-21,Tech,0.013667333333333342
2020-01-21,Utilities,0.17614000000000002
2020-01-22,Comm,0.0912
2020-01-22,Consumer,0.15228990476190477
2020-01-22,Energy,0.23478666666666664
2020-01-22,Financials,0.07742222222222224
2020-01-22,Healthcare,0.06784916666666667
2020-01-22,Industrials,-0.01411142857142857
2020-01-22,Materials,-0.059199999999999996
2020-01-22,RealEstate,0.11821
2020-01-22,Tech,0.083456
2020-01-22,Utilities,0.10610250000000002
2020-01-23,Comm,0.19333114285714287
2020-01-23,Consumer,0.12958566666666668
2020-01-23,Energy,0.06157333333333333
2020-01-23,Financials,0.032470000000000006
2020-01-23,Healthcare,0.020309999999999998
2020-01-23,Industrials,0.046720952380952384
2020-01-23,Materials,0.09407
2020-01-23,RealEstate,0.21995
2020-01-23,Tech,0.04322259259259259
2020-01-23,Utilities,-0.028099999999999997
2020-01-24,Comm,0.11109024242424241
2020-01-24,Consumer,0.07866423076923076
2020-01-24,Energy,0.18136166666666667
2020-01-24,Financials,-0.02652
2020-01-24,Healthcare,0.2246453333333333
2020-01-24,Industrials,0.07103733333333333
2020-01-24,Materials,0.11928799999999999
2020-01-24,RealEstate,0.11171
2020-01-24,Tech,0.07616107526881721
2020-01-24,Utilities,0.19892800000000002
2020-01-27,Comm,0.02225727272727272
2020-01-27,Consumer,0.029636666666666672
2020-01-27,Energy,0.04191166666666666
2020-01-27,Financials,-0.04764
2020-01-27,Healthcare,0.2427027777777778
2020-01-27,Industrials,0.06335666666666666
2020-01-27,Materials,-0.0014733333333333347
2020-01-27,RealEstate,0.08261
2020-01-27,Tech,-0.15692566666666666
2020-01-27,Utilities,0.06823174603174605
2020-01-28,Comm,0.036708000000000005
2020-01-28,Consumer,0.04492314285714286
2020-01-28,Energy,0.15636333333333333
2020-01-28,Financials,0.08901857142857143
2020-01-28,Healthcare,0.18641166666666664
2020-01-28,Industrials,-0.008816666666666667
2020-01-28,Materials,0.167525
2020-01-28,RealEstate,0.10733999999999999
2020-01-28,Tech,-0.0009938461538461564
2020-01-28,Utilities,0.08364000000000002
2020-01-29,Comm,0.25270099999999995
2020-01-29,Consumer,0.009240761904761906
2020-01-29,Energy,-0.002303333333333332
2020-01-29,Financials,0.152345
2020-01-29,Healthcare,0.16403
2020-01-29,Industrials,0.0019259999999999993
2020-01-29,Materials,0.12668428571428572
2020-01-29,RealEstate,0.20612
2020-01-29,Tech,0.07918079365079365
2020-01-29,Utilities,0.20021500000000003
2020-01-30,Comm,-0.010649999999999998
2020-01-30,Consumer,0.05215771428571429
2020-01-30,Energy,0.09489714285714286
2020-01-30,Financials,0.1730816666666667
2020-01-30,Healthcare,0.20239545454545455
2020-01-30,Industrials,0.13193666666666667
